"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.austinv11.bench.MapTests.concurrentHashMapCopy","thrpt",1,100,4.307329,0.053458,"ops/ms"
"com.austinv11.bench.MapTests.concurrentHashMapGet","thrpt",1,100,6.599832,0.059538,"ops/ms"
"com.austinv11.bench.MapTests.concurrentHashMapPutRemove","thrpt",1,100,6.007600,0.068867,"ops/ms"
"com.austinv11.bench.MapTests.concurrentHashMapPutUpdate","thrpt",1,100,6.058960,0.045210,"ops/ms"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapGet","thrpt",1,100,14.926676,0.194695,"ops/ms"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapMapCopy","thrpt",1,100,14.071305,0.113907,"ops/ms"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapPutRemove","thrpt",1,100,10.910056,0.135299,"ops/ms"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapUpdate","thrpt",1,100,17.988314,0.131065,"ops/ms"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapCopy","thrpt",1,100,22.111428,0.416640,"ops/ms"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapGet","thrpt",1,100,13.470455,0.046521,"ops/ms"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutRemove","thrpt",1,100,20.864420,0.435840,"ops/ms"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutUpdate","thrpt",1,100,26.947042,0.900868,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapGet","thrpt",1,100,15.531160,0.083989,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapMapCopy","thrpt",1,100,20.381225,0.066179,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapPutRemove","thrpt",1,100,17.121055,0.037901,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapUpdate","thrpt",1,100,18.879886,0.077518,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapGet","thrpt",1,100,13.538550,0.063737,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapMapCopy","thrpt",1,100,11.541424,0.023557,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapPutRemove","thrpt",1,100,13.742478,0.036320,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapUpdate","thrpt",1,100,15.561432,0.043770,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashMapCopy","thrpt",1,100,19.231671,0.121748,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashMapGet","thrpt",1,100,17.425868,0.134760,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashMapPutRemove","thrpt",1,100,21.598968,0.049243,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashMapPutUpdate","thrpt",1,100,21.497854,0.232241,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapCopy","thrpt",1,100,2.032310,0.020047,"ops/ms"
