"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.austinv11.bench.MapTests.concurrentHashMapCopy","thrpt",1,100,5.652715,0.123373,"ops/ms"
"com.austinv11.bench.MapTests.concurrentHashMapGet","thrpt",1,100,8.789490,0.182070,"ops/ms"
"com.austinv11.bench.MapTests.concurrentHashMapPutRemove","thrpt",1,100,8.719081,0.180853,"ops/ms"
"com.austinv11.bench.MapTests.concurrentHashMapPutUpdate","thrpt",1,100,9.059905,0.088493,"ops/ms"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapGet","thrpt",1,100,17.984871,0.148518,"ops/ms"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapMapCopy","thrpt",1,100,19.067819,0.179421,"ops/ms"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapPutRemove","thrpt",1,100,15.249647,0.327406,"ops/ms"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapUpdate","thrpt",1,100,23.737721,0.429856,"ops/ms"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapCopy","thrpt",1,100,33.609591,0.541547,"ops/ms"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapGet","thrpt",1,100,16.545264,0.117747,"ops/ms"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutRemove","thrpt",1,100,35.341289,1.112834,"ops/ms"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutUpdate","thrpt",1,100,35.466131,1.237512,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapGet","thrpt",1,100,20.977970,0.707624,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapMapCopy","thrpt",1,100,41.288362,1.262164,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapPutRemove","thrpt",1,100,31.593363,1.069173,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapUpdate","thrpt",1,100,36.135745,1.837164,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapGet","thrpt",1,100,12.406332,0.216783,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapMapCopy","thrpt",1,100,12.144121,0.061331,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapPutRemove","thrpt",1,100,13.139076,0.253946,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapUpdate","thrpt",1,100,15.812618,0.313298,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashMapCopy","thrpt",1,100,28.335451,0.391392,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashMapGet","thrpt",1,100,24.268269,0.146883,"ops/ms"
