"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.austinv11.bench.MapTests.concurrentHashMapCopy","thrpt",1,100,8.681616,0.126254,"ops/ms"
"com.austinv11.bench.MapTests.concurrentHashMapGet","thrpt",1,100,12.423802,0.199061,"ops/ms"
"com.austinv11.bench.MapTests.concurrentHashMapPutRemove","thrpt",1,100,11.977889,0.132244,"ops/ms"
"com.austinv11.bench.MapTests.concurrentHashMapPutUpdate","thrpt",1,100,12.384621,0.145811,"ops/ms"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapGet","thrpt",1,100,24.519773,0.131868,"ops/ms"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapMapCopy","thrpt",1,100,25.022495,0.084282,"ops/ms"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapPutRemove","thrpt",1,100,19.764056,0.195521,"ops/ms"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapUpdate","thrpt",1,100,31.346858,0.131035,"ops/ms"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapCopy","thrpt",1,100,37.702093,0.145391,"ops/ms"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapGet","thrpt",1,100,21.769442,0.049928,"ops/ms"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutRemove","thrpt",1,100,40.179136,0.775167,"ops/ms"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutUpdate","thrpt",1,100,45.149139,1.742536,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapGet","thrpt",1,100,30.615644,0.111982,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapMapCopy","thrpt",1,100,51.514146,0.201989,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapPutRemove","thrpt",1,100,41.920135,1.736643,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapUpdate","thrpt",1,100,50.158108,0.544903,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapGet","thrpt",1,100,19.533395,0.289278,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapMapCopy","thrpt",1,100,17.509364,0.066451,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapPutRemove","thrpt",1,100,21.012052,0.312873,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapUpdate","thrpt",1,100,24.230285,0.071482,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashMapCopy","thrpt",1,100,32.598156,0.232458,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashMapGet","thrpt",1,100,30.641138,0.532314,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashMapPutRemove","thrpt",1,100,42.170144,0.614114,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashMapPutUpdate","thrpt",1,100,33.579962,0.185342,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapCopy","thrpt",1,100,3.949549,0.011018,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapGet","thrpt",1,100,1.570126,0.062696,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutRemove","thrpt",1,100,1.644245,0.020632,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutUpdate","thrpt",1,100,2.058051,0.023480,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapCopy","thrpt",1,100,30.494935,0.591374,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutRemove","thrpt",1,100,1.642774,0.003624,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutUpdate","thrpt",1,100,49.235872,0.157418,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapCopy","thrpt",1,100,49.585477,0.270726,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapGet","thrpt",1,100,31.498146,0.207395,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutRemove","thrpt",1,100,22.899324,0.437450,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutUpdate","thrpt",1,100,47.975018,1.788210,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapCopy","thrpt",1,100,36.783540,0.314544,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapGet","thrpt",1,100,20.816656,0.193914,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutRemove","thrpt",1,100,34.415383,0.213095,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutUpdate","thrpt",1,100,34.757608,0.093271,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapGet","thrpt",1,100,22.840385,0.070854,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapMapCopy","thrpt",1,100,24.536732,0.065952,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapPutRemove","thrpt",1,100,18.183463,0.138584,"ops/ms"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapUpdate","thrpt",1,100,26.695829,0.232787,"ops/ms"
"com.austinv11.bench.MapTests.concurrentHashMapCopy","avgt",1,100,0.114934,0.001721,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapGet","avgt",1,100,0.079850,0.001224,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutRemove","avgt",1,100,0.081746,0.000891,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutUpdate","avgt",1,100,0.081538,0.000906,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapGet","avgt",1,100,0.040953,0.000158,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapMapCopy","avgt",1,100,0.039849,0.000184,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapPutRemove","avgt",1,100,0.051167,0.000555,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapUpdate","avgt",1,100,0.031871,0.000153,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapCopy","avgt",1,100,0.027513,0.000328,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapGet","avgt",1,100,0.047600,0.000403,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutRemove","avgt",1,100,0.025395,0.000651,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutUpdate","avgt",1,100,0.023930,0.000695,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapGet","avgt",1,100,0.033300,0.000479,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapMapCopy","avgt",1,100,0.019462,0.000139,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapPutRemove","avgt",1,100,0.025754,0.000222,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapUpdate","avgt",1,100,0.020611,0.000300,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapGet","avgt",1,100,0.050528,0.000127,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapMapCopy","avgt",1,100,0.056864,0.000235,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapPutRemove","avgt",1,100,0.049288,0.000868,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapUpdate","avgt",1,100,0.041479,0.000193,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapCopy","avgt",1,100,0.030756,0.000260,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapGet","avgt",1,100,0.032761,0.000448,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutRemove","avgt",1,100,0.024645,0.000498,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutUpdate","avgt",1,100,0.029586,0.000186,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapCopy","avgt",1,100,0.253423,0.000473,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapGet","avgt",1,100,0.594172,0.002853,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutRemove","avgt",1,100,0.562124,0.001344,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutUpdate","avgt",1,100,0.483502,0.005572,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapCopy","avgt",1,100,0.032529,0.000420,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutRemove","avgt",1,100,0.610882,0.001671,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutUpdate","avgt",1,100,0.020559,0.000107,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapCopy","avgt",1,100,0.019830,0.000099,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapGet","avgt",1,100,0.031869,0.000153,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutRemove","avgt",1,100,0.043605,0.000798,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutUpdate","avgt",1,100,0.021265,0.000770,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapCopy","avgt",1,100,0.026861,0.000112,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapGet","avgt",1,100,0.048317,0.000412,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutRemove","avgt",1,100,0.029295,0.000177,"ms/op"
