"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.austinv11.bench.MapTests.concurrentHashMapCopy","thrpt",1,100,"4.268646","0.023776","ops/ms"
"com.austinv11.bench.MapTests.concurrentHashMapGet","thrpt",1,100,"6.469511","0.051757","ops/ms"
"com.austinv11.bench.MapTests.concurrentHashMapPutRemove","thrpt",1,100,"5.883960","0.043064","ops/ms"
"com.austinv11.bench.MapTests.concurrentHashMapPutUpdate","thrpt",1,100,"5.958087","0.044570","ops/ms"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapGet","thrpt",1,100,"15.139932","0.054393","ops/ms"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapMapCopy","thrpt",1,100,"14.291128","0.036322","ops/ms"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapPutRemove","thrpt",1,100,"10.874405","0.101071","ops/ms"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapUpdate","thrpt",1,100,"18.324311","0.094249","ops/ms"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapCopy","thrpt",1,100,"22.293496","0.163327","ops/ms"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapGet","thrpt",1,100,"12.707139","0.038285","ops/ms"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutRemove","thrpt",1,100,"21.709393","0.386436","ops/ms"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutUpdate","thrpt",1,100,"27.982593","0.737583","ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapGet","thrpt",1,100,"15.119372","0.044036","ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapMapCopy","thrpt",1,100,"19.708843","0.039958","ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapPutRemove","thrpt",1,100,"16.492010","0.124236","ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapUpdate","thrpt",1,100,"18.558018","0.061975","ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapGet","thrpt",1,100,"13.162224","0.068359","ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapMapCopy","thrpt",1,100,"11.543394","0.055549","ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapPutRemove","thrpt",1,100,"13.564461","0.075152","ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapUpdate","thrpt",1,100,"15.374270","0.119737","ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashMapCopy","thrpt",1,100,"17.639437","0.207279","ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashMapGet","thrpt",1,100,"15.617827","0.403546","ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashMapPutRemove","thrpt",1,100,"19.996407","0.087506","ops/ms"
"com.austinv11.bench.MapTests.synchronizedHashMapPutUpdate","thrpt",1,100,"19.843684","0.385007","ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapCopy","thrpt",1,100,"1.981196","0.009009","ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapGet","thrpt",1,100,"0.710837","0.014738","ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutRemove","thrpt",1,100,"0.656052","0.002553","ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutUpdate","thrpt",1,100,"0.890795","0.011223","ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapCopy","thrpt",1,100,"16.099790","0.249755","ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutRemove","thrpt",1,100,"0.759907","0.008018","ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutUpdate","thrpt",1,100,"25.710035","0.182911","ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapCopy","thrpt",1,100,"20.041186","0.210822","ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapGet","thrpt",1,100,"15.410320","0.055953","ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutRemove","thrpt",1,100,"10.368812","0.412596","ops/ms"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutUpdate","thrpt",1,100,"18.819510","0.085128","ops/ms"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapCopy","thrpt",1,100,"19.158954","0.168725","ops/ms"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapGet","thrpt",1,100,"11.594699","0.134371","ops/ms"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutRemove","thrpt",1,100,"17.918754","0.229585","ops/ms"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutUpdate","thrpt",1,100,"20.348052","0.091634","ops/ms"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapGet","thrpt",1,100,"13.531571","0.107288","ops/ms"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapMapCopy","thrpt",1,100,"13.443960","0.367888","ops/ms"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapPutRemove","thrpt",1,100,"10.413163","0.159339","ops/ms"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapUpdate","thrpt",1,100,"15.504163","0.153327","ops/ms"
"com.austinv11.bench.MapTests.concurrentHashMapCopy","avgt",1,100,"0.241956","0.020838","ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapGet","avgt",1,100,"0.153926","0.001657","ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutRemove","avgt",1,100,"0.181600","0.005931","ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutUpdate","avgt",1,100,"0.184419","0.011892","ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapGet","avgt",1,100,"0.069861","0.002383","ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapMapCopy","avgt",1,100,"0.072472","0.001029","ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapPutRemove","avgt",1,100,"0.093948","0.000897","ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapUpdate","avgt",1,100,"0.056366","0.000286","ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapCopy","avgt",1,100,"0.046143","0.000481","ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapGet","avgt",1,100,"0.080318","0.000434","ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutRemove","avgt",1,100,"0.047016","0.000846","ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutUpdate","avgt",1,100,"0.037008","0.000926","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapGet","avgt",1,100,"0.069518","0.001595","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapMapCopy","avgt",1,100,"0.054856","0.000461","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapPutRemove","avgt",1,100,"0.063937","0.001029","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapUpdate","avgt",1,100,"0.055547","0.000187","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapGet","avgt",1,100,"0.078012","0.000299","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapMapCopy","avgt",1,100,"0.090139","0.000674","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapPutRemove","avgt",1,100,"0.075416","0.000375","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapUpdate","avgt",1,100,"0.066834","0.000394","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapCopy","avgt",1,100,"0.062230","0.000435","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapGet","avgt",1,100,"0.066294","0.000513","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutRemove","avgt",1,100,"0.052208","0.001227","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutUpdate","avgt",1,100,"0.055810","0.000358","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapCopy","avgt",1,100,"0.509013","0.004508","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapGet","avgt",1,100,"1.419710","0.035689","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutRemove","avgt",1,100,"1.519189","0.005089","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutUpdate","avgt",1,100,"1.131836","0.010052","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapCopy","avgt",1,100,"0.060031","0.000305","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutRemove","avgt",1,100,"1.316093","0.012023","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutUpdate","avgt",1,100,"0.037772","0.000096","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapCopy","avgt",1,100,"0.048360","0.000087","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapGet","avgt",1,100,"0.063900","0.000154","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutRemove","avgt",1,100,"0.092016","0.001564","ms/op"
